state,population,year,homicide,rape,robbery,aggravated_assault,burglary,larceny,vehicle_theft
AK,406000,1979,13.30,71.92,109.61,296.31,1383.25,3713.30,616.00
AK,440142,1980,8.86,56.80,81.79,288.54,1259.82,3388.91,561.00
AK,412000,1981,14.56,102.18,114.56,384.47,1329.85,3958.74,690.50
AK,438000,1982,18.49,85.39,133.79,386.07,1188.13,3806.39,594.30
AK,479000,1983,13.78,101.46,97.08,401.46,1194.15,3566.81,643.80
AK,500000,1984,11.60,91.60,109.40,409.00,1236.80,3628.00,628.80
AK,521000,1985,9.79,77.16,92.90,401.92,1191.75,3497.12,606.30
AK,534000,1986,8.61,72.66,88.01,401.12,1161.80,3909.93,603.70
AK,525000,1987,10.10,64.95,73.14,307.24,970.10,3465.71,486.30
AK,513000,1988,5.65,57.70,72.90,386.55,842.30,3101.56,455.00
AK,527000,1989,7.97,52.94,67.55,369.26,826.94,3000.19,455.00
AK,550043,1990,7.45,72.90,76.72,367.43,894.29,3168.48,565.40
AK,570000,1991,7.37,91.75,113.16,401.58,979.30,3574.56,533.90
AK,587000,1992,7.50,98.64,109.03,445.32,880.75,3531.18,497.10
AK,599000,1993,9.02,83.81,122.37,545.58,816.86,3539.40,450.90
AK,606000,1994,6.27,68.98,146.20,544.88,800.00,3601.32,540.40
AK,604000,1995,9.11,80.30,155.13,526.32,836.92,3624.34,521.70
AK,607000,1996,7.41,65.57,116.97,537.73,843.16,3386.66,492.90
AK,609000,1997,8.87,66.17,106.40,519.70,702.13,3412.15,457.10
AK,614000,1998,6.68,68.57,86.64,492.02,667.43,3031.11,424.60
AK,619500,1999,8.39,83.45,91.36,447.62,611.30,2688.30,429.10
AK,626932,2000,4.31,79.27,78.16,405.15,621.92,2685.78,374.80
AK,633630,2001,6.16,79.07,81.12,423.12,607.14,2634.82,413.20
AK,641482,2002,5.14,79.66,76.23,404.38,609.21,2765.32,385.20
AK,648280,2003,6.02,93.32,68.80,429.91,597.58,2784.44,379.60
