"","state","year","population","percent","median.income","homicide","rape","robbery","aggravated_assault","burglary","larceny","vehicle_theft","homicide_class"
"1","AK",1984,500000,9.8,74689,11.6,91.6,109.4,409,1236.8,3628,628.8,"HIGH"
"2","AK",1985,521000,8.64,77625,9.79,77.16,92.9,401.92,1191.75,3497.12,606.3,"LOW"
"3","AK",1986,534000,11.05,68775,8.61,72.66,88.01,401.12,1161.8,3909.93,603.7,"LOW"
"4","AK",1987,525000,11.43,70468,10.1,64.95,73.14,307.24,970.1,3465.71,486.3,"HIGH"
"5","AK",1988,513000,10.33,67745,5.65,57.7,72.9,386.55,842.3,3101.56,455,"LOW"
"6","AK",1989,527000,9.68,70599,7.97,52.94,67.55,369.26,826.94,3000.19,455,"LOW"
"7","AK",1990,550043,10.36,73433,7.45,72.9,76.72,367.43,894.29,3168.48,565.4,"LOW"
"8","AK",1991,570000,10.88,73224,7.37,91.75,113.16,401.58,979.3,3574.56,533.9,"LOW"
"9","AK",1992,587000,9.88,73541,7.5,98.64,109.03,445.32,880.75,3531.18,497.1,"LOW"
"10","AK",1993,599000,8.68,73670,9.02,83.81,122.37,545.58,816.86,3539.4,450.9,"LOW"
"11","AK",1994,606000,10.07,76258,6.27,68.98,146.2,544.88,800,3601.32,540.4,"LOW"
"12","AK",1995,604000,7.45,78710,9.11,80.3,155.13,526.32,836.92,3624.34,521.7,"LOW"
"13","AK",1996,607000,8.9,84383,7.41,65.57,116.97,537.73,843.16,3386.66,492.9,"LOW"
"14","AK",1997,609000,9.2,75109,8.87,66.17,106.4,519.7,702.13,3412.15,457.1,"LOW"
"15","AK",1998,614000,9.77,78271,6.68,68.57,86.64,492.02,667.43,3031.11,424.6,"LOW"
"16","AK",1999,619500,7.75,77703,8.39,83.45,91.36,447.62,611.3,2688.3,429.1,"LOW"
"17","AK",2000,626932,7.5,77275,4.31,79.27,78.16,405.15,621.92,2685.78,374.8,"LOW"
"18","AK",2001,633630,8.52,81556,6.16,79.07,81.12,423.12,607.14,2634.82,413.2,"LOW"
"19","AK",2002,641482,8.26,73868,5.14,79.66,76.23,404.38,609.21,2765.32,385.2,"LOW"
"20","AK",2003,648280,9.56,70945,6.02,93.32,68.8,429.91,597.58,2784.44,379.6,"LOW"
"21","AK",2004,657755,8.97,73378,5.63,84.83,67.96,473.88,573.62,2456.69,340.6,"LOW"
"22","AK",2005,663253,9.95,72041,4.82,81.12,80.96,465.43,622.84,2600.67,391,"LOW"
"23","AK",2006,670053,8.66,70437,5.37,76.41,89.55,516.68,620.1,2579.5,378.5,"LOW"
"24","AK",2007,683478,7.46,76477,6.29,79.74,85.01,490.29,546.32,2476.89,356,"LOW"
"25","AK",2008,686293,8.01,74812,3.93,65.13,93.98,489,471.66,2218.44,237.2,"LOW"
"26","AK",2009,698473,11.6,72275,3.15,73.45,93.63,463.15,515.41,2183.48,241.5,"LOW"
"27","AK",2010,714146,12.18,66767,4.34,74.63,83.18,473.15,434.79,2175.33,226.7,"LOW"
"28","AK",2011,723860,11.47,64260,4.14,60.23,79.57,466.11,394,2052.05,191.7,"LOW"
"29","AK",2012,730307,9.59,69739,4.11,79.83,86.27,433.93,403.94,2131.3,208.4,"LOW"
"30","AK",2013,737259,10.31,78249,4.61,125.46,84.5,424.14,395.65,2251.45,229.9,"LOW"
"31","AK",2014,737046,11.13,71804,5.56,104.61,85.34,440,427.38,2095.53,236,"LOW"
"32","AK",2015,737709,8.81,79611,8,122,103.16,497.62,475.93,2067.08,277.3,"LOW"
"33","AK",2016,741522,12,79237,7.01,142.01,114.63,540.91,546.58,2395.88,412.3,"LOW"
"34","AK",2017,739786,13.92,73992,8.38,145.18,128.69,574.49,563.27,2403.67,575,"HIGH"
"35","AK",2018,737438,12.75,68734,6.37,161.64,121.5,595.44,539.57,2219.03,541.9,"LOW"
"36","AL",1984,3990000,18.5,39958,9.37,25.11,96.07,300.63,1001.75,2235.54,233.6,"HIGH"
"37","AL",1985,4021000,20.42,40915,9.85,26.83,105.37,315.49,1034.87,2191.2,258.5,"HIGH"
"38","AL",1986,4053000,23.66,41963,10.09,28.37,111.6,407.94,1158.99,2304.37,267,"HIGH"
"39","AL",1987,4083000,20.84,41844,9.31,27.85,112.2,409.87,1198.31,2431.06,262.8,"HIGH"
"40","AL",1988,4127000,18.78,40823,9.89,29.76,117.76,401.16,1233.83,2502.59,266.7,"HIGH"
"41","AL",1989,4118000,18.7,41733,10.22,30.99,133.92,415.66,1146.77,2592.79,297.5,"HIGH"
"42","AL",1990,4040587,19.28,43645,11.56,32.64,143.67,520.69,1103.43,2755.44,347.8,"HIGH"
"43","AL",1991,4089000,19.22,43896,11.47,35.58,152.75,644.36,1268.6,2889.48,363.4,"HIGH"
"44","AL",1992,4136000,17.63,45403,11,41.2,164.87,654.59,1186,2848.19,362.3,"HIGH"
"45","AL",1993,4187000,17.32,43041,11.56,35.13,159.47,574.25,1088.56,2672.03,337.8,"HIGH"
"46","AL",1994,4219000,16.69,45714,11.87,35.25,171.2,465.35,1044.42,2843.11,331.8,"HIGH"
"47","AL",1995,4253000,20.74,42661,11.17,31.74,185.75,403.69,1024.83,2844.27,346.6,"HIGH"
"48","AL",1996,4273000,13.92,48447,10.39,32.69,166.72,355.58,1002.13,2886.73,366,"HIGH"
"49","AL",1997,4319000,15.4,49983,9.86,32.32,160.48,361.8,1013.8,2954.76,356.7,"HIGH"
"50","AL",1998,4352000,13.99,55997,8.13,33.16,130.93,339.87,964.27,2779.02,341.7,"HIGH"
"51","AL",1999,4369862,15.29,54806,7.89,34.62,121.22,326.46,884.42,2737.29,300.6,"HIGH"
"52","AL",2000,4447100,13.11,51798,7.4,33.33,128.22,317.22,906.91,2864.77,288,"HIGH"
"53","AL",2001,4468912,15.57,49989,8.48,30.63,124.95,274.12,909.44,2685.04,282.4,"HIGH"
"54","AL",2002,4478896,14.29,52633,6.77,37.15,133.11,267.97,950.64,2767.02,310.1,"HIGH"
"55","AL",2003,4503726,14.72,50988,6.64,36.77,134.07,251.75,960.2,2754.14,332.1,"HIGH"
"56","AL",2004,4525375,16.84,48812,5.61,38.49,133.51,249.39,987.01,2732.37,309.9,"HIGH"
"57","AL",2005,4548327,16.49,47885,8.22,34.39,141.74,248.29,955.8,2655.48,289,"HIGH"
"58","AL",2006,4599030,14.13,47382,8.31,35.79,153.55,227.5,973.68,2640.8,326.5,"HIGH"
"59","AL",2007,4627851,14.3,51248,8.9,33.45,159.86,246.7,980.56,2689.48,307.7,"HIGH"
"60","AL",2008,4661900,14.48,51999,7.53,34.71,157.58,253.01,1081.34,2714.32,288.9,"HIGH"
"61","AL",2009,4708708,16.35,46905,6.84,31.94,133.05,278.27,1037.31,2507.52,235.5,"HIGH"
"62","AL",2010,4785401,16.97,47244,5.75,28.32,101.64,248.03,887.78,2414.93,225.3,"HIGH"
"63","AL",2011,4803689,15.24,47654,6.22,28.52,102.13,282.93,1064.16,2319.28,222,"HIGH"
"64","AL",2012,4817528,16.13,47624,7.1,26.9,104.2,312.09,985.59,2314.94,205,"HIGH"
"65","AL",2013,4833996,16.47,51092,7.16,42.51,96.09,285.23,877.33,2252.01,218.5,"HIGH"
"66","AL",2014,4846411,17.5,44888,5.69,41.37,97.02,283.59,819.64,2150.52,209.1,"HIGH"
"67","AL",2015,4853875,16.15,49412,7.17,41.97,95.02,328.81,726.53,2043.36,213,"HIGH"
"68","AL",2016,4860545,16.09,49412,8.37,39.4,96.43,388.21,700.44,2005.91,241,"HIGH"
"69","AL",2017,4875120,14.83,52359,8.59,41.05,86.83,385.96,641.42,2045.22,262.5,"HIGH"
"70","AL",2018,4887871,15.94,49936,7.84,40.84,83.39,387.57,590.05,1958.87,268.3,"HIGH"
"71","AR",1984,2349000,24.01,36181,7.49,29.67,67.56,216.65,885.91,1992.64,167.6,"HIGH"
"72","AR",1985,2359000,22.93,38946,7.93,29.08,68.55,242.01,941.37,2117.72,178.4,"HIGH"
"73","AR",1986,2372000,21.04,41082,8.05,28.92,79.68,278.16,1029.89,2305.1,194.9,"HIGH"
"74","AR",1987,2388000,22.49,39921,7.62,32.62,79.15,292.63,1078.02,2548.66,206.5,"HIGH"
"75","AR",1988,2422000,21.76,41282,8.71,32.2,84.1,297.65,1091.78,2492.28,212.9,"HIGH"
"76","AR",1989,2406000,18.37,42025,8.44,38.4,110.56,316.29,1194.43,2621.95,265.6,"HIGH"
"77","AR",1990,2350725,20.08,42578,10.25,43.35,113.2,365.42,1210.86,2834.44,289.4,"HIGH"
"78","AR",1991,2372000,17.92,42254,11.13,44.6,135.62,401.9,1226.52,3013.79,341.4,"HIGH"
"79","AR",1992,2399000,17.92,42015,10.8,41.27,125.51,398.96,1092.71,2763.15,329.3,"HIGH"
"80","AR",1993,2424000,19.97,39535,10.19,42.41,124.88,415.8,1099.26,2795.67,322.5,"HIGH"
"81","AR",1994,2453000,15.04,42972,11.99,41.91,128.74,412.47,1097.06,2791.6,315,"HIGH"
"82","AR",1995,2484000,15.14,42370,10.43,37.24,125.68,379.83,996.9,2815.42,325.4,"HIGH"
"83","AR",1996,2510000,17.89,43364,8.73,41.67,114.1,359.84,953.19,2908.76,312.9,"HIGH"
"84","AR",1997,2523000,20.41,40942,9.91,43.52,111.53,361.91,1013.4,2863.77,314.6,"HIGH"
"85","AR",1998,2538000,14.85,42716,7.92,35.19,96.22,350.91,928.25,2581.76,283.2,"HIGH"
"86","AR",1999,2551373,15.05,44875,5.6,27.83,79.33,312.42,850.21,2505.59,261.2,"HIGH"
"87","AR",2000,2673400,16.31,43424,6.28,31.72,74.85,332.42,802.09,2608.66,259.3,"HIGH"
"88","AR",2001,2694698,17.52,47400,5.49,33.1,80.94,332.84,823.69,2582.48,271.6,"HIGH"
"89","AR",2002,2706268,19.66,45332,5.25,27.86,93.26,298.6,858.34,2628.31,251.7,"HIGH"
"90","AR",2003,2727774,17.38,43798,6.6,33.4,81.64,334.74,917.08,2495.11,220.2,"HIGH"
"91","AR",2004,2750000,14.98,46620,6.4,43.02,86.25,366.65,1096.4,2699.71,237,"HIGH"
"92","AR",2005,2775708,13.76,47250,6.81,43.3,91.22,387.18,1085.06,2720.39,262,"HIGH"
"93","AR",2006,2810872,17.33,46265,7.29,47.14,97.8,400.55,1133.6,2584.46,267.4,"HIGH"
"94","AR",2007,2834797,13.65,49527,6.98,45.65,109.53,374.95,1130.06,2578.53,246.9,"HIGH"
"95","AR",2008,2855390,15.09,46282,5.78,51.24,97.25,358.76,1187.65,2448.18,229.1,"HIGH"
"96","AR",2009,2889450,18.62,42867,6.19,47.69,89.15,372.8,1202.75,2361.28,211,"HIGH"
"97","AR",2010,2921588,15.06,44536,4.59,45.22,81.09,372.64,1111.14,2252.06,190.3,"HIGH"
"98","AR",2011,2938582,18.55,46213,5.44,41.86,80.21,354.8,1157.57,2404.05,196.3,"HIGH"
"99","AR",2012,2949828,19.8,42752,5.9,41.8,78.31,343.55,1107.62,2406.31,194.4,"HIGH"
"100","AR",2013,2958765,17.03,42515,5.34,50.36,76.42,331.08,1026.41,2380.39,191.9,"HIGH"
"101","AR",2014,2966835,17.93,47695,5.9,61.21,68.66,344.47,836.45,2325.74,188.8,"HIGH"
"102","AR",2015,2977853,15.95,45362,6.35,67.43,71.09,384.67,767.36,2307.7,195.4,"HIGH"
"103","AR",2016,2988231,15.76,48037,7.26,74.09,71.11,401.81,796.93,2245.17,240.5,"HIGH"
"104","AR",2017,3002997,14.39,50019,8.29,71.26,66.53,419.88,744.89,2157.68,241.6,"HIGH"
"105","AR",2018,3013825,15.33,49781,7.17,72.86,52.89,410.71,636.83,2040.16,236,"HIGH"
"106","AZ",1984,3053000,18.64,49457,7.8,43.11,131.12,334.06,1713.95,3884.83,384.5,"HIGH"
"107","AZ",1985,3187000,10.83,53287,7.97,45.75,146.53,402.26,1869.63,4258.55,385.5,"LOW"
"108","AZ",1986,3317000,14.59,55931,9.26,42.96,169.25,436.81,1907.69,4336.6,418.8,"HIGH"
"109","AZ",1987,3386000,13.11,56719,7.47,41.23,138.42,425.46,1626.08,4527.35,422.6,"HIGH"
"110","AZ",1988,3466000,14.17,54099,8.48,38.81,137.05,425.79,1580.29,4821.73,459.1,"HIGH"
"111","AZ",1989,3556000,14.12,55984,6.66,36.16,139.03,417.69,1667.15,5106.13,686.9,"HIGH"
"112","AZ",1990,3665228,13.21,54609,7.75,40.93,160.89,442.81,1669.91,4702.98,863.5,"HIGH"
"113","AZ",1991,3750000,14.19,55420,7.76,42.4,165.73,454.83,1607.49,4266.32,861.1,"HIGH"
"114","AZ",1992,3832000,15.84,51649,8.14,42.98,153.11,466.6,1411.66,4124.56,821.5,"HIGH"
"115","AZ",1993,3936000,15.63,52355,8.61,37.8,162.91,505.67,1465.55,4387.42,863.8,"HIGH"
"116","AZ",1994,4075000,16.52,52601,10.45,35.95,161.99,494.75,1476.25,4678.5,1066.7,"HIGH"
"117","AZ",1995,4218000,16.6,50658,10.41,33.62,173.76,495.71,1416.83,4925.63,1157.7,"HIGH"
"118","AZ",1996,4428000,22.13,50581,8.51,31.19,167.77,424.03,1256.32,4252.48,926.7,"HIGH"
"119","AZ",1997,4555000,17.5,51237,8.23,32.76,165.69,417.06,1318.92,4282,970.4,"HIGH"
"120","AZ",1998,4669000,17.39,57269,8.05,31.08,165.24,373.57,1209.53,3922.4,865.1,"HIGH"
"121","AZ",1999,4778332,12.89,55931,8.04,28.94,152.52,361.61,1034.31,3510.24,800.4,"HIGH"
"122","AZ",2000,5130632,11.83,58172,7,30.74,146.26,347.73,1011.61,3444.12,842.1,"LOW"
"123","AZ",2001,5306966,14.66,60715,7.54,28.6,167.1,337.09,1033,3520.84,983.7,"HIGH"
"124","AZ",2002,5441125,13.51,55616,7.11,29.55,147.03,370.81,1085.93,3704.03,1059.9,"HIGH"
"125","AZ",2003,5579222,13.42,56340,7.9,33.27,136.56,335.57,1050.56,3561.88,1021.6,"HIGH"
"126","AZ",2004,5739879,14.46,58430,7.21,33.03,134.52,329.64,991.05,3118.74,963.5,"HIGH"
"127","AZ",2005,5953007,15.4,58319,7.48,33.7,144.11,326.69,946.21,2958.37,922,"HIGH"
"128","AZ",2006,6166318,14.63,58250,8.64,39.72,153.92,340.28,963.59,2891.86,918.7,"HIGH"
"129","AZ",2007,6338755,14.39,57321,8.65,37.12,154.04,318.2,946.37,2793.55,792.6,"HIGH"
"130","AZ",2008,6500180,18.03,54849,7.11,33.85,150.9,293.78,901.61,2607,593.6,"HIGH"
"131","AZ",2009,6595778,20.94,53662,5.76,34.55,124.31,261.83,823.38,2364.79,400.8,"HIGH"
"132","AZ",2010,6413158,18.84,54127,6.36,34.16,108.42,264.71,794.18,2403.45,338.9,"HIGH"
"133","AZ",2011,6467315,17.44,54403,6.14,38.64,110.48,258.96,845.71,2402.85,306.2,"HIGH"
"134","AZ",2012,6551149,19.23,51546,5.46,34.83,112.7,275.59,807.66,2439.39,289.8,"HIGH"
"135","AZ",2013,6634997,20.27,56805,5.35,47.84,100.32,262.11,727.84,2381.85,255.7,"HIGH"
"136","AZ",2014,6728783,20.94,52294,4.62,48.63,92.51,246.91,645.17,2269.1,261.3,"HIGH"
"137","AZ",2015,6817565,16.96,55378,4.49,45.6,93.29,266.85,557.53,2235.23,246.2,"HIGH"
"138","AZ",2016,6908642,16.04,59750,5.63,47.82,101.97,315.6,553.16,2180.14,267.5,"HIGH"
"139","AZ",2017,7048876,13.14,62615,5.99,51.38,105.55,342.79,535.15,2103.19,269.9,"LOW"
"140","AZ",2018,7171646,12.95,62283,5.15,50.73,90.96,328.07,439.68,1970.3,266.9,"LOW"
"141","CA",1984,25622000,13.17,58372,10.6,45.67,327.55,379.54,1729.35,3346.06,629.6,"HIGH"
"142","CA",1985,26365000,13.64,60215,10.51,43.32,327.66,383.79,1701.14,3379.36,672.2,"HIGH"
"143","CA",1986,26981000,12.8,63629,11.26,44.92,342.88,521.48,1696.37,3383.88,762,"HIGH"
"144","CA",1987,27663000,12.45,63922,10.57,43.77,301.27,562.37,1518.16,3240.19,830.1,"HIGH"
"145","CA",1988,28168000,13.09,61982,10.42,41.82,305.81,571.77,1447.14,3314.53,944,"HIGH"
"146","CA",1989,29063000,12.98,64723,10.87,41.17,331.8,593.82,1412.34,3346.53,1026.9,"HIGH"
"147","CA",1990,29760021,13.87,62206,11.94,42.63,377.04,613.58,1345.4,3197.51,1015.5,"HIGH"
"148","CA",1991,30380000,15.88,60697,12.7,42.45,411.25,623.53,1397.81,3245.95,1038.9,"HIGH"
"149","CA",1992,30867000,16.84,61404,12.7,41.34,424.07,641.61,1384.95,3137.77,1037.1,"HIGH"
"150","CA",1993,31211000,18.59,58470,13.12,37.7,405.1,621.84,1327.04,3029.08,1023,"HIGH"
"151","CA",1994,31431000,18,59388,11.78,34.95,356.85,609.42,1222.54,2957.72,980.6,"HIGH"
"152","CA",1995,31589000,16.91,60745,11.18,33.41,331.16,590.26,1120.31,2856.87,887.9,"HIGH"
"153","CA",1996,31878000,17.17,62052,9.15,32.14,295.57,525.8,979.4,2605.11,760.6,"HIGH"
"154","CA",1997,32268000,16.92,62120,7.99,31.58,252.47,506.22,927.36,2430.91,708.8,"HIGH"
"155","CA",1998,32667000,15.67,63204,6.65,29.94,210.55,456.57,823.5,2217.11,598.5,"HIGH"
"156","CA",1999,33145121,14.28,65961,6.05,28.25,181.14,411.74,675.25,1994.23,508.3,"HIGH"
"157","CA",2000,33871648,12.68,68456,6.14,28.89,177.87,408.65,656.28,1924.49,537.4,"LOW"
"158","CA",2001,34600463,12.49,67195,6.38,28.79,186.74,393.31,671.3,2016.56,590.1,"LOW"
"159","CA",2002,35001986,13.16,66397,6.84,29.14,185.61,373.77,681.18,2044.72,635.3,"HIGH"
"160","CA",2003,35462712,13.07,67473,6.79,28.18,179.82,364.83,683.18,2062.69,680.5,"HIGH"
"161","CA",2004,35842038,13.18,65594,6.67,26.83,172.33,321.97,686.07,2033.05,704.8,"HIGH"
"162","CA",2005,36154147,13.04,66710,6.92,25.98,175.97,317.14,692.92,1915.32,712,"HIGH"
"163","CA",2006,36457549,12.14,69065,6.82,25.33,195.14,306.16,678.13,1835.29,668.3,"LOW"
"164","CA",2007,36553215,12.55,67664,6.19,24.75,193.43,299.69,650.7,1790.61,602.2,"LOW"
"165","CA",2008,36756666,14.54,66658,5.83,24.22,188.78,285.38,646.99,1770.17,523.8,"HIGH"
"166","CA",2009,36961664,15.25,65858,5.34,23.57,173.4,270.97,622.8,1664.97,443.3,"HIGH"
"167","CA",2010,37338198,16.26,62652,4.84,22.31,155.65,256.78,612.93,1608.43,408.5,"HIGH"
"168","CA",2011,37683933,16.86,59713,4.76,20.34,144.07,242,610.54,1583.98,389.7,"HIGH"
"169","CA",2012,37999878,15.83,62477,4.96,20.62,148.74,249.22,646.76,1671.29,443.7,"HIGH"
"170","CA",2013,38431393,14.77,65640,4.54,26.86,139.57,231.66,603.82,1617.32,430.1,"HIGH"
"171","CA",2014,38792291,15.76,64221,4.38,29.85,125.49,236.66,522.45,1527.81,391.3,"HIGH"
"172","CA",2015,38993940,13.95,67448,4.77,32.85,135.56,254.78,506.24,1683.64,438.5,"LOW"
"173","CA",2016,39296476,13.83,69729,4.91,34.87,139.42,265.61,479.19,1621.04,449.8,"LOW"
"174","CA",2017,39399349,12.37,71459,4.64,37.37,143.72,267.56,448.43,1629.52,427.3,"LOW"
"175","CA",2018,39557045,11.79,70489,4.4,39.2,137.34,266.48,416.19,1571.84,392.4,"LOW"
"176","CO",1984,3178000,8.62,59558,5.79,38.96,114,299.02,1561.33,4054.72,397.3,"LOW"
"177","CO",1985,3231000,10.03,62895,5.85,40.89,124.17,300.12,1748.07,4267.04,432.9,"LOW"
"178","CO",1986,3267000,13.04,59642,7.04,42.3,144.81,329.42,1791.58,4230.76,486,"HIGH"
"179","CO",1987,3296000,12.08,56140,5.79,40.78,118.81,302.12,1534.59,4012.92,436.3,"LOW"
"180","CO",1988,3290000,12.31,53647,5.68,38.57,98.78,329.54,1383.07,3900.64,422,"LOW"
"181","CO",1989,3317000,11.85,52560,4.4,36.24,89.96,340.79,1250.38,3864.79,452.9,"LOW"
"182","CO",1990,3294394,13.99,57428,4.19,46.17,90.61,385.02,1208.78,3890.61,428.4,"LOW"
"183","CO",1991,3377000,10.28,56793,5.89,47.02,107.43,398.93,1158.34,3930.03,426.4,"LOW"
"184","CO",1992,3470000,10.84,57148,6.22,47.29,120.46,404.87,1090.86,3780.09,509,"LOW"
"185","CO",1993,3566000,9.93,59182,5.78,45.79,116.66,399.05,1009.84,3499.36,450.3,"LOW"
"186","CO",1994,3656000,9.16,63594,5.44,43.19,106.95,354.05,925.68,3490.15,392.9,"LOW"
"187","CO",1995,3747000,8.94,66813,5.76,39.5,96.18,298.75,934.11,3634.48,387.5,"LOW"
"188","CO",1996,3823000,10.78,65470,4.71,46.17,98.22,255.38,900.76,3415.54,397.8,"LOW"
"189","CO",1997,3893000,8.22,67658,4.03,43.08,83.28,232.8,796.15,3077.34,413.7,"LOW"
"190","CO",1998,3971000,9.14,71951,4.61,47.42,81.54,244.37,786.48,2917.93,405.1,"LOW"
"191","CO",1999,4056133,9.02,72837,4.56,41.39,75.34,219.2,665.14,2692.91,364.8,"LOW"
"192","CO",2000,4301261,9.88,70538,3.12,41.24,70.54,219.12,630.82,2623.49,394.3,"LOW"
"193","CO",2001,4430989,8.64,70231,3.57,43.56,80.23,222.28,643.94,2738.89,473.8,"LOW"
"194","CO",2002,4501051,9.69,67597,3.98,45.9,79.51,223.46,703.79,2781.42,515.1,"LOW"
"195","CO",2003,4547633,9.59,68349,4.07,42.07,82.2,218.16,712.33,2737.6,501.7,"LOW"
"196","CO",2004,4601821,9.78,67811,4.37,42.27,81.25,244.16,717.32,2679.55,521.6,"LOW"
"197","CO",2005,4663295,11.37,65026,3.71,43.45,84.66,264.86,745.1,2736.31,560,"LOW"
"198","CO",2006,4753377,9.8,69537,3.6,45.4,80.45,265.94,681.85,2321.97,434.6,"LOW"
"199","CO",2007,4861515,9.83,74228,3.19,42.68,71.19,234.7,588.97,2067.65,342.6,"LOW"
"200","CO",2008,4939456,10.95,71251,3.34,43.55,68.91,238.08,567.96,1982.75,270.3,"LOW"
"201","CO",2009,5024748,12.2,65618,3.16,45.16,67.09,223.35,530.12,1892.21,248.4,"LOW"
"202","CO",2010,5047692,12.18,69520,2.56,44.18,62.68,214.28,518.97,1932.25,223.3,"LOW"
"203","CO",2011,5116302,12.92,65601,3.03,44.66,64.48,202.22,502.8,1877.41,215,"LOW"
"204","CO",2012,5189458,11.81,62735,2.93,40.89,65.36,198.19,504.16,1948.01,233.2,"LOW"
"205","CO",2013,5272086,10.62,73325,3.3,56.2,59.48,186.38,475.62,1941.83,237.6,"LOW"
"206","CO",2014,5355588,12.34,64702,2.8,57.68,56.71,190.66,438.83,1861.38,234.8,"LOW"
"207","CO",2015,5448819,9.87,70585,3.17,61.08,60.84,193.29,431.1,1918.43,294,"LOW"
"208","CO",2016,5530105,8.44,73841,3.42,65.73,63.74,211.23,430.82,1965.24,355.2,"LOW"
"209","CO",2017,5615902,7.6,75980,3.95,71.6,68.88,227.75,402.75,1913.67,390.7,"LOW"
"210","CO",2018,5695564,9.15,73034,3.69,71.46,66.67,255.41,375.22,1915.86,380.5,"LOW"
"211","CT",1984,3154000,6.91,69138,3.87,24.06,190.52,175.4,1128.95,2683.26,422.8,"LOW"
"212","CT",1985,3174000,7.47,69385,3.78,24.04,190.04,184.09,1135.51,2726.02,441.3,"LOW"
"213","CT",1986,3189000,5.83,71769,4.64,23.83,192.19,205.11,1197.55,2758.33,447.1,"LOW"
"214","CT",1987,3211000,6.45,69681,4.86,24.91,178.14,211.12,1218.31,2829.4,529,"LOW"
"215","CT",1988,3241000,3.95,74109,5.37,26.2,187.6,236.22,1218.05,2810.21,614,"LOW"
"216","CT",1989,3239000,2.78,82981,5.87,27.54,214.76,263.6,1236.03,2824.42,697.8,"LOW"
"217","CT",1990,3287116,5.96,72633,5.05,27.93,234.77,285.96,1227.67,2874.4,730.9,"LOW"
"218","CT",1991,3291000,8.72,76005,5.68,29.17,224.37,280.46,1191.07,2837.56,795.7,"LOW"
"219","CT",1992,3281000,9.78,71851,5.06,26.94,210.85,252.48,1108.56,2726.7,722.3,"LOW"
"220","CT",1993,3277000,8.45,67810,6.29,24.41,196.73,228.75,978.09,2620.57,595.5,"LOW"
"221","CT",1994,3275000,10.5,69080,6.56,24.61,187.79,236.49,889.83,2586.9,615.8,"LOW"
"222","CT",1995,3275000,9.71,66054,4.58,23.69,163.21,214.41,888.4,2668.73,540.2,"LOW"
"223","CT",1996,3274000,11.97,67339,4.83,23.06,169.58,214.57,842.21,2484.06,489.4,"LOW"
"224","CT",1997,3270000,8.62,68835,3.79,22.63,152.87,211.56,738.32,2410.43,444.7,"LOW"
"225","CT",1998,3274000,9.47,71811,4.12,22.24,133.75,206.2,665.88,2366.28,388.1,"LOW"
"226","CT",1999,3282031,7.5,76489,3.26,19.93,123.52,198.87,587.99,2111.47,344.2,"LOW"
"227","CT",2000,3405565,7.58,73363,2.88,19.91,112.52,189.4,511.99,2011.35,384.6,"LOW"
"228","CT",2001,3434602,7.25,75847,3.06,18.6,121.79,191.14,499.59,1914.69,360.4,"LOW"
"229","CT",2002,3458587,8.07,74726,2.43,21.4,117.65,170.99,494.74,1871.72,334.8,"LOW"
"230","CT",2003,3486960,7.97,75226,3.21,20.02,120.79,172.73,460.09,1880.38,326.1,"LOW"
"231","CT",2004,3498966,10.06,73427,2.86,21.58,119.69,144.9,456.11,1908.28,320.5,"LOW"
"232","CT",2005,3500701,9.31,73258,3,20.34,112.35,136.89,435.48,1840.09,303,"LOW"
