state,year,median income,margin of error
AK,1984,74689.00,3400.00
AK,1985,77625.00,2430.00
AK,1986,68775.00,2231.00
AK,1987,70468.00,3174.00
AK,1988,67745.00,2421.00
AK,1989,70599.00,2702.00
AK,1990,73433.00,3040.00
AK,1991,73224.00,3285.00
AK,1992,73541.00,2034.00
AK,1993,73670.00,2819.00
AK,1994,76258.00,2511.00
AK,1995,78710.00,3296.00
AK,1996,84383.00,3049.00
AK,1997,75109.00,1969.00
AK,1998,78271.00,3280.00
AK,1999,77703.00,3365.00
AK,2000,77275.00,1695.00
AK,2001,81556.00,2861.00
AK,2002,73868.00,1502.00
AK,2003,70945.00,1343.00
AK,2004,73378.00,2760.00
AK,2005,72041.00,1716.00
AK,2006,70437.00,1866.00
AK,2007,76477.00,1922.00
AK,2008,74812.00,2691.00
AK,2009,72275.00,2054.00
AK,2010,66767.00,2758.00
AK,2011,64260.00,4151.00
AK,2012,69739.00,3111.00
AK,2013,78249.00,5880.00
AK,2014,71804.00,3348.00
AK,2015,79611.00,3694.00
AK,2016,79237.00,4276.00
AK,2017,73992.00,2785.00
AK,2018,68734.00,3390.00
AL,1984,39958.00,1397.00
AL,1985,40915.00,1696.00
AL,1986,41963.00,1941.00
AL,1987,41844.00,2432.00
AL,1988,40823.00,1866.00
AL,1989,41733.00,2098.00
AL,1990,43645.00,1938.00
AL,1991,43896.00,1926.00
AL,1992,45403.00,1861.00
AL,1993,43041.00,1867.00
AL,1994,45714.00,2621.00
AL,1995,42661.00,2078.00
AL,1996,48447.00,2011.00
AL,1997,49983.00,2515.00
AL,1998,55997.00,2018.00
AL,1999,54806.00,1798.00
AL,2000,51798.00,1568.00
AL,2001,49989.00,1430.00
AL,2002,52633.00,1486.00
AL,2003,50988.00,2162.00
AL,2004,48812.00,1736.00
AL,2005,47885.00,1566.00
AL,2006,47382.00,1266.00
AL,2007,51248.00,1724.00
AL,2008,51999.00,1940.00
AL,2009,46905.00,1061.00
AL,2010,47244.00,2765.00
AL,2011,47654.00,2261.00
AL,2012,47624.00,2771.00
AL,2013,51092.00,5950.00
AL,2014,44888.00,1623.00
AL,2015,49412.00,2408.00
AL,2016,49412.00,2408.00
AL,2017,52359.00,866.00
AL,2018,49936.00,2423.00
AR,1984,36181.00,1727.00
AR,1985,38946.00,1705.00
AR,1986,41082.00,1678.00
AR,1987,39921.00,2137.00
AR,1988,41282.00,1445.00
AR,1989,42025.00,1794.00
AR,1990,42578.00,1833.00
AR,1991,42254.00,1412.00
AR,1992,42015.00,2459.00
AR,1993,39535.00,1453.00
AR,1994,42972.00,1587.00
AR,1995,42370.00,1640.00
AR,1996,43364.00,1564.00
AR,1997,40942.00,1806.00
AR,1998,42716.00,1791.00
AR,1999,44875.00,1551.00
AR,2000,43424.00,1129.00
AR,2001,47400.00,1626.00
AR,2002,45332.00,1089.00
AR,2003,43798.00,1062.00
AR,2004,46620.00,1325.00
AR,2005,47250.00,1687.00
AR,2006,46265.00,958.00
AR,2007,49527.00,1637.00
AR,2008,46282.00,1396.00
AR,2009,42867.00,1066.00
AR,2010,44536.00,2844.00
AR,2011,46213.00,2069.00
AR,2012,42752.00,3081.00
AR,2013,42515.00,2593.00
AR,2014,47695.00,2703.00
AR,2015,45362.00,1666.00
AR,2016,48037.00,2265.00
AR,2017,50019.00,2706.00
AR,2018,49781.00,2108.00
AZ,1984,49457.00,1406.00
AZ,1985,53287.00,1660.00
AZ,1986,55931.00,1575.00
AZ,1987,56719.00,1891.00
AZ,1988,54099.00,1725.00
AZ,1989,55984.00,2373.00
AZ,1990,54609.00,2132.00
AZ,1991,55420.00,1617.00
AZ,1992,51649.00,1914.00
AZ,1993,52355.00,1922.00
AZ,1994,52601.00,1299.00
AZ,1995,50658.00,2232.00
AZ,1996,50581.00,2037.00
AZ,1997,51237.00,2030.00
AZ,1998,57269.00,1938.00
AZ,1999,55931.00,1713.00
AZ,2000,58172.00,1769.00
AZ,2001,60715.00,2049.00
AZ,2002,55616.00,1404.00
AZ,2003,56340.00,1946.00
AZ,2004,58430.00,1523.00
AZ,2005,58319.00,1638.00
AZ,2006,58250.00,1556.00
AZ,2007,57321.00,1888.00
AZ,2008,54849.00,1315.00
AZ,2009,53662.00,1456.00
AZ,2010,54127.00,2570.00
AZ,2011,54403.00,2712.00
AZ,2012,51546.00,3202.00
AZ,2013,56805.00,4713.00
AZ,2014,52294.00,2446.00
AZ,2015,55378.00,2128.00
AZ,2016,59750.00,2062.00
AZ,2017,62615.00,2706.00
AZ,2018,62283.00,2291.00
CA,1984,58372.00,840.00
CA,1985,60215.00,781.00
CA,1986,63629.00,1250.00
CA,1987,63922.00,1141.00
CA,1988,61982.00,1297.00
CA,1989,64723.00,1212.00
CA,1990,62206.00,1056.00
CA,1991,60697.00,1235.00
CA,1992,61404.00,1107.00
CA,1993,58470.00,1117.00
CA,1994,59388.00,1040.00
CA,1995,60745.00,1187.00
CA,1996,62052.00,1308.00
CA,1997,62120.00,1352.00
CA,1998,63204.00,891.00
CA,1999,65961.00,1063.00
CA,2000,68456.00,1003.00
CA,2001,67195.00,1034.00
CA,2002,66397.00,1072.00
CA,2003,67473.00,1121.00
CA,2004,65594.00,880.00
CA,2005,66710.00,593.00
CA,2006,69065.00,868.00
