state,year,homicide,rape,robbery,aggravated assault,burglary,larceny,vehicle theft,cluster,cluster change from previous year,number of cluster changes ,
MI,1979,9,45,220,341,1507,3423,602,1,1,,
ND,1979,2,8,10,42,461,2071,162,3,1,,
SD,1979,2,16,20,120,626,2000,174,3,1,,
MT,1979,4,21,33,166,803,3122,311,4,1,,
NH,1979,2,17,29,92,1199,2915,325,4,1,,
MS,1979,13,22,71,219,974,1497,167,6,1,,
AK,1979,13,72,110,296,1383,3713,616,7,1,,
ID,1979,5,21,43,219,1075,2605,272,8,1,,
MA,1979,4,25,203,300,1605,2637,1145,8,1,,
MN,1979,2,21,92,105,1113,2730,329,8,1,,
MO,1979,11,34,211,271,1447,2555,411,8,1,,
SC,1979,13,34,108,524,1506,2586,296,8,1,,
AR,1979,9,27,75,255,984,2076,194,9,1,,
AK,1980,9,57,82,289,1260,3389,561,1,1,,
ID,1980,3,22,47,241,1239,2993,237,1,1,,
MA,1980,4,27,236,334,1740,2686,1052,1,1,,
WY,1980,6,29,44,313,904,3345,345,4,1,,
VA,1980,9,27,120,151,1203,2882,228,8,1,,
SD,1980,1,12,20,94,693,2255,169,9,1,,
MN,1981,2,26,104,96,1278,2979,252,1,1,,
MO,1981,10,30,215,285,1583,2847,381,1,1,,
NM,1981,11,47,141,472,1613,3561,355,1,1,,
OH,1981,7,31,237,221,1494,3032,425,1,1,,
RI,1981,4,18,132,288,1655,2891,864,1,1,,
VT,1981,4,33,28,63,1560,3080,293,1,1,,
MT,1981,3,22,38,189,966,3519,280,7,1,,
WY,1981,5,35,42,347,961,3450,291,7,1,,
ND,1981,2,9,13,44,501,2258,165,9,1,,
CT,1982,5,22,208,164,1411,3065,552,1,1,,
GA,1982,13,40,155,271,1498,2927,312,1,1,,
KS,1982,6,25,87,218,1345,3049,223,1,1,,
LA,1982,16,40,213,401,1425,2882,336,1,1,,
NJ,1982,6,29,308,264,1431,3011,627,1,1,,
SC,1982,11,39,122,548,1491,2873,278,1,1,,
CA,1982,11,51,372,381,2020,3785,666,2,1,,
DE,1982,5,31,122,401,1445,3969,412,2,1,,
HI,1982,3,34,157,61,1658,4250,421,2,1,,
MI,1982,9,47,271,330,1813,3623,692,2,1,,
IA,1982,2,12,36,122,948,2842,174,4,1,,
NE,1982,2,21,62,145,811,2732,178,4,1,,
VA,1982,7,25,122,155,974,2789,184,4,1,,
VT,1982,2,35,23,67,1178,3132,255,4,1,,
AR,1982,8,27,79,211,1071,2289,186,8,1,,
NH,1982,2,16,34,73,945,2536,224,8,1,,
DE,1983,4,38,115,296,1223,3450,339,1,1,,
IL,1983,10,32,319,368,1292,2952,569,1,1,,
MD,1983,9,33,347,418,1224,2961,365,1,1,,
NY,1983,11,30,536,337,1410,2855,724,1,1,,
NM,1983,9,48,114,516,1559,3794,306,2,1,,
NV,1983,13,51,307,284,2011,3563,471,2,1,,
WY,1983,6,21,30,180,705,2905,166,4,1,,
AL,1983,9,24,98,285,1073,2381,231,8,1,,
IA,1983,2,13,41,125,916,2664,158,8,1,,
ID,1983,4,18,27,190,931,2526,171,8,1,,
IN,1983,5,28,100,151,988,2536,322,8,1,,
LA,1983,14,40,190,397,1292,2783,311,8,1,,
ME,1983,2,17,27,114,996,2358,168,8,1,,
TN,1983,9,36,173,185,1206,2087,317,8,1,,
VA,1983,7,25,110,150,920,2571,178,8,1,,
NH,1983,2,19,24,80,822,2227,182,9,1,,
NM,1984,9,55,130,494,1640,3595,321,1,1,,
TX,1984,13,46,178,267,1664,3312,549,1,1,,
AR,1984,7,30,68,217,886,1993,168,3,1,,
NH,1984,1,21,23,89,736,2079,189,3,1,,
TN,1984,8,40,167,230,1124,1954,366,3,1,,
DC,1984,28,59,977,658,1758,4409,702,5,1,,
GA,1984,9,40,144,285,1205,2523,292,8,1,,
NJ,1984,5,33,242,247,1063,2690,575,8,1,,
OK,1984,8,40,111,249,1455,2573,458,8,1,,
AL,1984,9,25,96,301,1002,2236,234,9,1,,
IA,1984,2,13,38,145,871,2571,158,9,1,,
ID,1984,3,19,24,189,874,2411,151,9,1,,
WY,1984,3,21,23,195,642,2645,154,9,1,,
NJ,1985,5,32,255,252,1057,2829,664,4,1,,
IA,1985,2,13,41,156,914,2664,153,8,1,,
ID,1985,2,19,27,187,887,2604,182,8,1,,
IL,1985,8,39,287,380,1136,2870,591,8,1,,
KS,1985,5,29,79,243,1051,2752,216,8,1,,
MD,1985,8,39,302,486,1207,2871,461,8,1,,
MN,1985,2,30,86,139,1017,2598,262,8,1,,
NY,1985,9,32,504,384,1235,2824,599,8,1,,
SC,1985,9,41,94,487,1254,2697,259,8,1,,
AR,1985,8,29,69,242,941,2118,178,9,1,,
IL,1986,9,41,326,434,1182,2943,628,1,1,,
NJ,1986,5,33,269,265,1071,2822,776,8,1,,
IN,1986,6,26,90,186,887,2333,328,9,1,,
NE,1986,3,25,51,184,748,2677,168,9,1,,
CO,1987,6,41,119,302,1535,4013,436,2,1,,
DC,1987,36,39,717,817,1808,4021,1012,2,1,,
ID,1987,3,18,24,169,977,2798,167,4,1,,
IL,1987,8,38,314,435,1124,2957,540,4,1,,
AK,1987,10,65,73,307,970,3466,486,7,1,,
VA,1987,7,26,106,156,807,2603,254,9,1,,
GA,1988,12,46,244,364,1611,3496,555,1,1,,
IL,1988,9,39,313,451,1129,3076,605,1,1,,
MD,1988,10,37,301,459,1179,3047,672,1,1,,
NV,1988,10,74,291,405,1545,3528,599,1,1,,
OR,1988,5,41,193,307,1764,4154,594,2,1,,
KS,1988,3,31,86,245,1179,3093,243,4,1,,
NJ,1988,5,34,245,299,980,2838,894,4,1,,
HI,1988,4,32,84,137,1256,4112,364,7,1,,
NC,1988,8,28,109,357,1391,2719,250,8,1,,
OH,1988,5,43,161,243,1031,2763,399,8,1,,
HI,1989,5,45,83,138,1343,4260,397,2,1,,
WA,1989,4,62,140,266,1545,4119,458,2,1,,
MS,1989,10,39,78,184,1145,1880,179,3,1,,
ND,1989,1,12,9,42,359,2026,113,3,1,,
IL,1989,9,36,336,465,1076,3110,607,4,1,,
MD,1989,12,38,332,474,1123,2920,664,4,1,,
NV,1989,8,60,251,307,1405,3662,580,7,1,,
ID,1989,3,23,15,214,872,2645,159,8,1,,
IN,1989,6,32,101,267,969,2673,391,8,1,,
NJ,1989,5,32,273,299,977,2765,919,8,1,,
VT,1989,2,23,18,90,1029,2728,199,8,1,,
GA,1990,12,54,263,427,1619,3714,674,2,1,,
SD,1990,2,34,12,114,527,2109,110,3,1,,
AK,1990,7,73,77,367,894,3168,565,4,1,,
DE,1990,5,88,165,397,970,3291,444,4,1,,
VT,1990,2,26,12,87,1087,2918,208,4,1,,
AL,1990,12,33,144,521,1103,2755,348,8,1,,
AR,1990,10,43,113,365,1211,2834,289,8,1,,
ME,1990,2,20,25,96,823,2555,177,9,1,,
AL,1991,11,36,153,644,1269,2889,363,1,1,,
AR,1991,11,45,136,402,1227,3014,341,1,1,,
GA,1991,13,42,268,415,1515,3629,611,1,1,,
MI,1991,11,79,243,470,1186,3469,680,1,1,,
NY,1991,14,28,622,499,1132,2944,1004,1,1,,
NM,1991,11,52,120,652,1723,3775,346,2,1,,
MT,1991,3,20,19,99,524,2778,206,4,1,,
NJ,1991,5,29,293,307,1016,2855,926,4,1,,
OH,1991,7,53,215,287,1055,2916,500,4,1,,
DE,1991,5,86,215,408,1128,3652,375,7,1,,
ME,1991,1,22,23,86,903,2570,163,8,1,,
VT,1991,2,31,12,72,1020,2674,144,8,1,,
NH,1991,4,30,33,53,735,2373,220,9,1,,
SD,1991,2,40,19,122,590,2192,115,9,1,,
IL,1992,11,37,412,516,1077,3092,619,1,1,,
KS,1992,6,41,130,334,1294,3192,324,1,1,,
LA,1992,17,42,271,653,1366,3567,628,1,1,,
TX,1992,13,53,253,488,1523,3907,822,2,1,,
IA,1992,2,19,40,218,754,2766,159,4,1,,
ID,1992,3,32,21,225,744,2814,157,4,1,,
ND,1992,2,23,8,50,391,2280,149,9,1,,
VT,1992,2,25,9,74,826,2370,105,9,1,,
SD,1993,3,44,15,146,549,2086,115,3,1,,
VT,1993,4,40,9,62,874,2851,133,4,1,,
WI,1993,4,25,113,121,663,2762,365,4,1,,
HI,1993,4,34,104,120,1136,4429,451,7,1,,
TX,1993,12,55,224,471,1297,3687,692,7,1,,
AL,1993,12,35,159,574,1089,2672,338,8,1,,
MA,1993,4,33,176,592,1002,2271,816,8,1,,
MO,1993,11,36,242,455,1025,2778,548,8,1,,
RI,1993,4,29,101,268,1041,2410,646,8,1,,
ID,1993,3,35,17,227,669,2711,183,9,1,,
CA,1994,12,35,357,609,1223,2958,981,1,1,,
MD,1994,12,41,402,493,1043,3368,763,1,1,,
ND,1994,0,23,11,47,324,2179,151,3,1,,
AR,1994,12,42,129,412,1097,2792,315,8,1,,
NY,1994,11,26,477,452,906,2490,709,8,1,,
IA,1994,2,24,47,243,667,2492,180,9,1,,
RI,1994,4,27,87,257,913,2311,520,9,1,,
NM,1995,9,57,155,599,1447,3649,513,1,1,,
TX,1995,9,46,180,429,1082,3378,560,1,1,,
AZ,1995,10,34,174,496,1417,4926,1158,2,1,,
HI,1995,5,28,131,132,1165,5047,691,2,1,,
IA,1995,2,22,53,278,757,2767,223,4,1,,
AK,1995,9,80,155,526,837,3624,522,7,1,,
CT,1995,5,24,163,214,888,2669,540,8,1,,
NJ,1995,5,24,283,287,875,2597,632,8,1,,
OH,1995,5,43,179,255,839,2669,415,8,1,,
RI,1995,3,27,92,245,933,2503,441,8,1,,
MA,1995,4,29,150,504,818,2232,605,9,1,,
ND,1995,1,23,10,53,351,2250,179,9,1,,
SD,1995,2,41,26,139,541,2191,121,9,1,,
VT,1995,2,28,11,77,761,2419,136,9,1,,
SD,1996,1,41,19,116,557,2122,114,3,1,,
DE,1996,4,63,180,422,804,2988,434,4,1,,
KS,1996,7,43,96,268,981,3038,248,4,1,,
VA,1996,7,27,123,185,588,2760,279,4,1,,
AZ,1996,9,31,168,424,1256,4252,927,7,1,,
CO,1996,5,46,98,255,901,3416,398,7,1,,
MD,1996,12,38,393,489,992,3427,711,7,1,,
MT,1996,4,27,30,100,558,3519,256,7,1,,
TX,1996,8,44,171,421,1069,3447,549,7,1,,
TN,1996,9,47,224,494,1163,2865,647,8,1,,
NV,1997,11,60,302,425,1310,3167,788,1,1,,
OK,1997,7,46,104,403,1206,3287,442,1,1,,
TN,1997,10,57,214,509,1172,2922,629,1,1,,
AZ,1997,8,33,166,417,1319,4282,970,2,1,,
FL,1997,7,52,276,689,1460,4057,732,2,1,,
VT,1997,2,26,13,78,613,1960,136,3,1,,
AR,1997,10,44,112,362,1013,2864,315,4,1,,
ID,1997,3,29,20,205,758,2709,201,4,1,,
IN,1997,7,33,132,342,822,2702,428,4,1,,
MI,1997,8,52,153,378,826,2833,668,4,1,,
DE,1997,3,58,244,481,877,3539,581,7,1,,
GA,1997,8,31,207,361,1086,3503,595,7,1,,
KS,1997,6,45,98,281,936,3538,248,7,1,,
CA,1997,8,32,252,506,927,2431,709,8,1,,
ME,1997,2,20,21,78,664,2215,132,9,1,,
NJ,1997,4,21,211,256,756,2297,511,9,1,,
NY,1997,6,22,309,351,652,2131,439,9,1,,
SD,1997,1,48,23,124,554,2377,116,9,1,,
SC,1998,8,46,155,695,1163,3295,416,1,1,,
NH,1998,2,34,22,50,325,1863,124,3,1,,
AK,1998,7,69,87,492,667,3031,425,4,1,,
CO,1998,5,47,82,244,786,2918,405,4,1,,
IL,1998,8,34,248,517,812,2799,440,4,1,,
MN,1998,3,50,93,165,688,2724,325,4,1,,
MT,1998,2,27,26,149,520,3402,233,4,1,,
OH,1998,4,41,133,185,810,2771,384,4,1,,
OK,1998,6,45,92,396,1143,2916,405,4,1,,
WY,1998,5,28,16,199,560,2860,139,4,1,,
DC,1998,50,36,689,943,1216,4658,1243,5,1,,
HI,1998,2,30,103,113,936,3681,469,7,1,,
NM,1998,11,55,163,732,1394,3744,620,7,1,,
OR,1998,4,40,105,271,928,3773,526,7,1,,
WA,1998,4,48,116,261,1063,3758,619,7,1,,
AR,1998,8,35,96,351,928,2582,283,8,1,,
MI,1998,7,50,156,407,838,2630,594,8,1,,
CA,1998,7,30,211,457,823,2217,599,9,1,,
CT,1998,4,22,134,206,666,2366,388,9,1,,
ID,1998,3,31,21,226,693,2554,186,9,1,,
VT,1998,2,28,9,67,671,2214,148,9,1,,
NC,1999,7,28,158,349,1287,3012,334,1,1,,
ID,1999,2,33,18,192,610,2143,152,3,1,,
MA,1999,2,27,96,426,534,1763,415,3,1,,
ND,1999,2,22,9,34,369,1795,164,3,1,,
SD,1999,2,46,14,105,444,1915,117,3,1,,
HI,1999,4,30,88,113,795,3413,393,4,1,,
FL,1999,6,46,212,590,1200,3534,617,7,1,,
LA,1999,11,33,174,515,1093,3425,496,7,1,,
UT,1999,2,38,54,181,685,3670,347,7,1,,
NV,1999,9,52,233,276,973,2386,724,8,1,,
OK,1999,7,41,83,377,1027,2788,361,8,1,,
MT,1999,2,33,27,174,439,2645,212,9,1,,
RI,1999,4,39,80,164,640,2249,407,9,1,,
VA,1999,6,25,101,183,472,2326,261,9,1,,
FL,2000,6,44,199,563,1082,3243,558,1,1,,
NM,2000,7,51,137,562,1173,3184,404,1,1,,
RI,2000,4,39,88,166,631,2102,445,3,1,,
AL,2000,7,33,128,317,907,2865,288,4,1,,
DE,2000,3,54,178,449,666,2726,402,4,1,,
MT,2000,2,34,23,252,402,2957,210,4,1,,
OK,2000,5,41,76,376,918,2785,358,4,1,,
OR,2000,2,38,84,227,749,3339,407,4,1,,
ND,2000,1,26,9,46,326,1727,154,6,1,,
TN,2000,7,38,166,495,990,2709,484,8,1,,
CO,2000,3,41,71,219,631,2623,394,9,1,,
ID,2000,1,30,17,204,566,2206,161,9,1,,
NY,2001,5,19,192,298,421,1726,253,3,1,,
MD,2001,8,27,251,495,771,2709,595,4,1,,
TN,2001,7,38,178,521,1038,2870,492,4,1,,
OR,2001,2,34,79,191,767,3542,427,7,1,,
AL,2001,8,31,125,274,909,2685,282,8,1,,
OK,2001,5,43,79,384,996,2725,362,8,1,,
AK,2001,6,79,81,423,607,2635,413,9,1,,
AR,2001,5,33,81,333,824,2582,272,9,1,,
ND,2002,1,26,9,43,354,1814,161,3,1,,
NJ,2002,4,16,163,193,512,1727,417,3,1,,
VT,2002,2,20,12,72,566,1733,125,3,1,,
AL,2002,7,37,133,268,951,2767,310,4,1,,
NM,2002,8,55,119,558,1060,2884,402,4,1,,
DC,2002,46,46,674,872,908,3814,1687,7,1,,
TN,2002,7,40,163,508,1058,2791,458,8,1,,
MI,2002,7,53,118,363,707,2134,495,9,1,,
NV,2002,8,43,236,352,874,2190,807,9,1,,
RI,2002,4,37,86,159,600,2251,456,9,1,,
WI,2002,3,23,87,113,513,2268,247,9,1,,
AK,2003,6,93,69,430,598,2784,380,4,1,,
CO,2003,4,42,82,218,712,2738,502,4,1,,
DC,2003,45,49,707,824,838,3249,1777,4,1,,
NE,2003,3,29,67,195,583,2816,353,4,1,,
VT,2003,2,20,10,81,487,1636,106,6,1,,
WV,2003,4,17,39,196,580,1568,191,6,1,,
AZ,2003,8,33,137,336,1051,3562,1022,7,1,,
HI,2003,2,29,94,148,914,3588,773,7,1,,
MS,2003,9,37,105,173,1026,2370,312,8,1,,
IA,2003,2,27,38,211,595,2189,192,9,1,,
FL,2004,5,38,173,496,957,2775,451,4,1,,
GA,2004,7,27,153,264,931,2797,496,4,1,,
LA,2004,13,36,146,446,1006,2975,437,4,1,,
OK,2004,5,44,88,363,1000,2874,368,4,1,,
NV,2004,7,41,210,358,992,2248,970,8,1,,
CO,2004,4,42,81,244,717,2680,522,9,1,,
CO,2005,4,43,85,265,745,2736,560,4,1,,
MO,2005,7,28,124,367,739,2747,443,4,1,,
OR,2005,2,35,68,182,759,3114,529,4,1,,
TN,2005,7,37,168,545,1033,2844,424,4,1,,
UT,2005,2,37,44,142,601,2894,341,4,1,,
OK,2005,5,42,91,371,1007,2648,392,8,1,,
DC,2005,34,29,636,682,615,2549,1326,9,1,,
IL,2005,6,34,182,330,608,2175,308,9,1,,
MS,2005,7,39,83,150,924,2093,258,9,1,,
NV,2005,9,42,195,362,973,2156,1116,9,1,,
ID,2006,2,42,20,186,515,1715,166,3,1,,
PA,2006,6,29,170,238,464,1745,239,3,1,,
KS,2006,5,46,68,314,727,2730,316,4,1,,
WA,2006,3,43,100,202,920,2864,726,4,1,,
CO,2006,4,45,80,266,682,2322,435,9,1,,
AZ,2007,9,37,154,318,946,2794,793,4,1,,
HI,2007,2,29,87,157,708,2921,490,4,1,,
TX,2007,6,35,162,307,955,2774,393,4,1,,
PA,2007,6,28,156,227,451,1699,213,6,1,,
MN,2007,2,36,92,160,572,2230,243,9,1,,
MT,2007,3,38,24,315,363,2330,214,9,1,,
NE,2007,4,31,63,213,509,2338,296,9,1,,
WY,2007,4,33,16,204,452,2271,156,9,1,,
CT,2008,4,19,115,168,431,1805,254,3,1,,
IA,2008,3,31,42,213,553,1742,146,3,1,,
PA,2008,6,28,152,225,471,1760,181,3,1,,
SC,2008,7,38,147,539,1026,2820,394,4,1,,
AZ,2008,7,34,151,294,902,2607,594,8,1,,
OK,2008,6,40,102,384,968,2204,303,9,1,,
CA,2009,5,24,173,271,623,1665,443,3,1,,
VT,2009,1,21,18,94,558,1784,72,3,1,,
WV,2009,5,26,50,225,660,1728,152,3,1,,
AL,2009,7,32,133,278,1037,2508,236,8,1,,
FL,2009,5,30,167,411,981,2589,271,8,1,,
NM,2009,10,53,96,473,1092,2298,324,8,1,,
OK,2009,6,42,91,364,1033,2273,284,8,1,,
IN,2009,5,25,114,190,761,2136,215,9,1,,
MD,2009,8,20,211,351,648,2207,344,9,1,,
IN,2010,4,27,101,191,748,2114,208,3,1,,
MI,2010,6,48,117,323,753,1719,278,3,1,,
NV,2010,6,36,196,426,824,1573,377,3,1,,
DC,2010,22,31,715,559,700,3226,836,4,1,,
NH,2010,1,31,34,101,413,1731,76,6,1,,
VT,2010,1,23,12,95,535,1657,70,6,1,,
TX,2010,5,30,130,283,905,2592,269,8,1,,
AK,2010,4,75,83,473,435,2175,227,9,1,,
AL,2010,6,28,102,248,888,2415,225,9,1,,
NM,2010,7,46,78,457,1018,2154,254,9,1,,
