"","state","year","population","cluster","percent","median.income","homicide","rape","robbery","aggravated_assault","burglary","larceny","vehicle_theft"
"1","AK",1984,500000,6,9.8,74689,12,92,109,409,1237,3628,629
"2","AK",1985,521000,4,8.64,77625,10,77,93,402,1192,3497,606
"3","AK",1986,534000,8,11.05,68775,9,73,88,401,1162,3910,604
"4","AK",1987,525000,8,11.43,70468,10,65,73,307,970,3466,486
"5","AK",1988,513000,8,10.33,67745,6,58,73,387,842,3102,455
"6","AK",1989,527000,8,9.68,70599,8,53,68,369,827,3000,455
"7","AK",1990,550043,6,10.36,73433,7,73,77,367,894,3168,565
"8","AK",1991,570000,6,10.88,73224,7,92,113,402,979,3575,534
"9","AK",1992,587000,6,9.88,73541,7,99,109,445,881,3531,497
"10","AK",1993,599000,6,8.68,73670,9,84,122,546,817,3539,451
"11","AK",1994,606000,6,10.07,76258,6,69,146,545,800,3601,540
"12","AK",1995,604000,4,7.45,78710,9,80,155,526,837,3624,522
"13","AK",1996,607000,4,8.9,84383,7,66,117,538,843,3387,493
"14","AK",1997,609000,6,9.2,75109,9,66,106,520,702,3412,457
"15","AK",1998,614000,4,9.77,78271,7,69,87,492,667,3031,425
"16","AK",1999,619500,4,7.75,77703,8,83,91,448,611,2688,429
"17","AK",2000,626932,4,7.5,77275,4,79,78,405,622,2686,375
"18","AK",2001,633630,4,8.52,81556,6,79,81,423,607,2635,413
"19","AK",2002,641482,6,8.26,73868,5,80,76,404,609,2765,385
"20","AK",2003,648280,8,9.56,70945,6,93,69,430,598,2784,380
"21","AK",2004,657755,6,8.97,73378,6,85,68,474,574,2457,341
"22","AK",2005,663253,6,9.95,72041,5,81,81,465,623,2601,391
"23","AK",2006,670053,8,8.66,70437,5,76,90,517,620,2579,379
"24","AK",2007,683478,6,7.46,76477,6,80,85,490,546,2477,356
"25","AK",2008,686293,6,8.01,74812,4,65,94,489,472,2218,237
"26","AK",2009,698473,6,11.6,72275,3,73,94,463,515,2183,242
"27","AK",2010,714146,8,12.18,66767,4,75,83,473,435,2175,227
"28","AK",2011,723860,9,11.47,64260,4,60,80,466,394,2052,192
"29","AK",2012,730307,8,9.59,69739,4,80,86,434,404,2131,208
"30","AK",2013,737259,4,10.31,78249,5,125,85,424,396,2251,230
"31","AK",2014,737046,6,11.13,71804,6,105,85,440,427,2096,236
"32","AK",2015,737709,4,8.81,79611,8,122,103,498,476,2067,277
"33","AK",2016,741522,4,12,79237,7,142,115,541,547,2396,412
"34","AK",2017,739786,6,13.92,73992,8,145,129,574,563,2404,575
"35","AK",2018,737438,8,12.75,68734,6,162,122,595,540,2219,542
"36","AL",1984,3990000,1,18.5,39958,9,25,96,301,1002,2236,234
"37","AL",1985,4021000,1,20.42,40915,10,27,105,315,1035,2191,259
"38","AL",1986,4053000,1,23.66,41963,10,28,112,408,1159,2304,267
"39","AL",1987,4083000,1,20.84,41844,9,28,112,410,1198,2431,263
"40","AL",1988,4127000,1,18.78,40823,10,30,118,401,1234,2503,267
