year,bottom 20 upper limit,bottom 20 mean
1967,3000,1600
1968,3323,1806
1969,3575,1932
1970,3688,1992
1971,3800,2092
1972,4050,2283
1973,1973,2539
1974,4860,2783
1975,5000,2909
1976,5405,3152
1977,5734,3335
1978,6318,3685
1979,7000,4006
1980,7478,4310
1981,8024,4602
1982,8400,4790
1983,8949,5053
1984,9500,5436
1985,9941,5614
1986,10247,5774
1987,10800,6132
1988,11382,6465
1989,12096,6994
1990,12500,7166
1991,12591,7226
1992,12600,7256
1993,12967,7359
1994,13426,7714
1995,14400,8345
1996,14768,8595
1997,15400,8839
1998,16116,9223
1999,17136,9915
2000,17955,10190
2001,17970,10136
2002,17916,9990
2003,17984,9996
2004,18486,10224
2005,19178,10655
2006,20035,11352
2007,20291,11551
2008,20712,11656
2009,20453,11552
2010,20000,10994
2011,20262,11239
2012,20599,11490
2013,21000,11594
2014,21432,11676
2015,22800,12457
2016,24002,12943
2017,24638,13258
2018,25600,13775
