state,population,year,poverty rate,percent
AK,440142,1980,36000,8.18
AK,412000,1981,36000,8.74
AK,438000,1982,46000,10.5
AK,479000,1983,61000,12.73
AK,500000,1984,49000,9.8
AK,521000,1985,45000,8.64
AK,534000,1986,59000,11.05
AK,525000,1987,60000,11.43
AK,513000,1988,53000,10.33
AK,527000,1989,51000,9.68
AK,550043,1990,57000,10.36
AK,570000,1991,62000,10.88
AK,587000,1992,58000,9.88
AK,599000,1993,52000,8.68
AK,606000,1994,61000,10.07
AK,604000,1995,45000,7.45
AK,607000,1996,54000,8.9
AK,609000,1997,56000,9.2
AK,614000,1998,60000,9.77
AK,619500,1999,48000,7.75
AK,626932,2000,47000,7.5
AK,633630,2001,54000,8.52
AK,641482,2002,53000,8.26
AK,648280,2003,62000,9.56
AK,657755,2004,59000,8.97
AK,663253,2005,66000,9.95
AK,670053,2006,58000,8.66
AK,683478,2007,51000,7.46
AK,686293,2008,55000,8.01
AK,698473,2009,81000,11.6
AK,714146,2010,87000,12.18
AK,723860,2011,83000,11.47
AK,730307,2012,70000,9.59
AK,737259,2013,76000,10.31
AK,737046,2014,82000,11.13
AK,737709,2015,65000,8.81
AK,741522,2016,89000,12
AK,739786,2017,103000,13.92
AK,737438,2018,94000,12.75
AL,3861466,1980,810000,20.98
AL,3916000,1981,935000,23.88
AL,3943000,1982,849000,21.53
AL,3959000,1983,909000,22.96
AL,3990000,1984,738000,18.5
AL,4021000,1985,821000,20.42
AL,4053000,1986,959000,23.66
AL,4083000,1987,851000,20.84
AL,4127000,1988,775000,18.78
AL,4118000,1989,770000,18.7
AL,4040587,1990,779000,19.28
AL,4089000,1991,786000,19.22
AL,4136000,1992,729000,17.63
AL,4187000,1993,725000,17.32
AL,4219000,1994,704000,16.69
AL,4253000,1995,882000,20.74
AL,4273000,1996,595000,13.92
AL,4319000,1997,665000,15.4
AL,4352000,1998,609000,13.99
AL,4369862,1999,668000,15.29
AL,4447100,2000,583000,13.11
AL,4468912,2001,696000,15.57
AL,4478896,2002,640000,14.29
AL,4503726,2003,663000,14.72
AL,4525375,2004,762000,16.84
AL,4548327,2005,750000,16.49
AL,4599030,2006,650000,14.13
AL,4627851,2007,662000,14.3
AL,4661900,2008,675000,14.48
AL,4708708,2009,770000,16.35
AL,4785401,2010,812000,16.97
AL,4803689,2011,732000,15.24
AL,4817528,2012,777000,16.13
AL,4833996,2013,796000,16.47
AL,4846411,2014,848000,17.5
AL,4853875,2015,784000,16.15
AL,4860545,2016,782000,16.09
AL,4875120,2017,723000,14.83
AL,4887871,2018,779000,15.94
AR,2284037,1980,484000,21.19
AR,2294000,1981,541000,23.58
AR,2291000,1982,527000,23
AR,2328000,1983,492000,21.13
AR,2349000,1984,564000,24.01
AR,2359000,1985,541000,22.93
AR,2372000,1986,499000,21.04
AR,2388000,1987,537000,22.49
AR,2422000,1988,527000,21.76
AR,2406000,1989,442000,18.37
AR,2350725,1990,472000,20.08
AR,2372000,1991,425000,17.92
AR,2399000,1992,430000,17.92
AR,2424000,1993,484000,19.97
AR,2453000,1994,369000,15.04
AR,2484000,1995,376000,15.14
AR,2510000,1996,449000,17.89
AR,2523000,1997,515000,20.41
AR,2538000,1998,377000,14.85
AR,2551373,1999,384000,15.05
AR,2673400,2000,436000,16.31
AR,2694698,2001,472000,17.52
AR,2706268,2002,532000,19.66
AR,2727774,2003,474000,17.38
AR,2750000,2004,412000,14.98
AR,2775708,2005,382000,13.76
AR,2810872,2006,487000,17.33
AR,2834797,2007,387000,13.65
AR,2855390,2008,431000,15.09
AR,2889450,2009,538000,18.62
AR,2921588,2010,440000,15.06
AR,2938582,2011,545000,18.55
AR,2949828,2012,584000,19.8
AR,2958765,2013,504000,17.03
AR,2966835,2014,532000,17.93
AR,2977853,2015,475000,15.95
AR,2988231,2016,471000,15.76
AR,3002997,2017,432000,14.39
AR,3013825,2018,462000,15.33
AZ,2715357,1980,354000,13.04
AZ,2793000,1981,323000,11.56
AZ,2860000,1982,408000,14.27
AZ,2963000,1983,469000,15.83
AZ,3053000,1984,569000,18.64
AZ,3187000,1985,345000,10.83
AZ,3317000,1986,484000,14.59
AZ,3386000,1987,444000,13.11
AZ,3466000,1988,491000,14.17
AZ,3556000,1989,502000,14.12
AZ,3665228,1990,484000,13.21
AZ,3750000,1991,532000,14.19
AZ,3832000,1992,607000,15.84
AZ,3936000,1993,615000,15.63
AZ,4075000,1994,673000,16.52
AZ,4218000,1995,700000,16.6
AZ,4428000,1996,980000,22.13
AZ,4555000,1997,797000,17.5
