"","state","year","population","poverty.rate","percent","median.income","margin.of.error","cluster"
"1","AK",1984,500000,49000,9.8,74689,3400,6
"2","AK",1985,521000,45000,8.64,77625,2430,4
"3","AK",1986,534000,59000,11.05,68775,2231,8
"4","AK",1987,525000,60000,11.43,70468,3174,8
"5","AK",1988,513000,53000,10.33,67745,2421,8
"6","AK",1989,527000,51000,9.68,70599,2702,8
"7","AK",1990,550043,57000,10.36,73433,3040,6
"8","AK",1991,570000,62000,10.88,73224,3285,6
"9","AK",1992,587000,58000,9.88,73541,2034,6
"10","AK",1993,599000,52000,8.68,73670,2819,6
"11","AK",1994,606000,61000,10.07,76258,2511,6
"12","AK",1995,604000,45000,7.45,78710,3296,4
"13","AK",1996,607000,54000,8.9,84383,3049,4
"14","AK",1997,609000,56000,9.2,75109,1969,6
"15","AK",1998,614000,60000,9.77,78271,3280,4
"16","AK",1999,619500,48000,7.75,77703,3365,4
"17","AK",2000,626932,47000,7.5,77275,1695,4
"18","AK",2001,633630,54000,8.52,81556,2861,4
"19","AK",2002,641482,53000,8.26,73868,1502,6
"20","AK",2003,648280,62000,9.56,70945,1343,8
"21","AK",2004,657755,59000,8.97,73378,2760,6
"22","AK",2005,663253,66000,9.95,72041,1716,6
"23","AK",2006,670053,58000,8.66,70437,1866,8
"24","AK",2007,683478,51000,7.46,76477,1922,6
"25","AK",2008,686293,55000,8.01,74812,2691,6
"26","AK",2009,698473,81000,11.6,72275,2054,6
"27","AK",2010,714146,87000,12.18,66767,2758,8
"28","AK",2011,723860,83000,11.47,64260,4151,9
"29","AK",2012,730307,70000,9.59,69739,3111,8
"30","AK",2013,737259,76000,10.31,78249,5880,4
"31","AK",2014,737046,82000,11.13,71804,3348,6
"32","AK",2015,737709,65000,8.81,79611,3694,4
"33","AK",2016,741522,89000,12,79237,4276,4
"34","AK",2017,739786,103000,13.92,73992,2785,6
"35","AK",2018,737438,94000,12.75,68734,3390,8
"36","AL",1984,3990000,738000,18.5,39958,1397,1
"37","AL",1985,4021000,821000,20.42,40915,1696,1
"38","AL",1986,4053000,959000,23.66,41963,1941,1
"39","AL",1987,4083000,851000,20.84,41844,2432,1
"40","AL",1988,4127000,775000,18.78,40823,1866,1
"41","AL",1989,4118000,770000,18.7,41733,2098,1
"42","AL",1990,4040587,779000,19.28,43645,1938,1
"43","AL",1991,4089000,786000,19.22,43896,1926,7
"44","AL",1992,4136000,729000,17.63,45403,1861,7
"45","AL",1993,4187000,725000,17.32,43041,1867,1
"46","AL",1994,4219000,704000,16.69,45714,2621,7
"47","AL",1995,4253000,882000,20.74,42661,2078,1
"48","AL",1996,4273000,595000,13.92,48447,2011,7
"49","AL",1997,4319000,665000,15.4,49983,2515,5
"50","AL",1998,4352000,609000,13.99,55997,2018,3
"51","AL",1999,4369862,668000,15.29,54806,1798,3
